money,7,J  ,60,,0
moneyn,7,J  ,110,,0
smallmoney,7,J  ,122,,0
SYSKEYS TYPES,0,K  ,,,0
primary,1,K  ,,,0
foreign,2,K  ,,,0
common,3,K  ,,,0
LOCK TYPES,0,L  ,,,0
NULL,1,L  ,,,0
Sch-S,2,L  ,,,0
Sch-M,3,L  ,,,0
S,4,L  ,,,0
U,5,L  ,,,0
X,6,L  ,,,0
IS,7,L  ,,,0
IU,8,L  ,,,0
IX,9,L  ,,,0
SIU,10,L  ,,,0
SIX,11,L  ,,,0
UIX,12,L  ,,,0
BU,13,L  ,,,0
RangeS-S,14,L  ,,,0
RangeS-U,15,L  ,,,0
RangeIn-Null,16,L  ,,,0
RangeIn-S,17,L  ,,,0
RangeIn-U,18,L  ,,,0
RangeIn-X,19,L  ,,,0
RangeX-S,20,L  ,,,0
RangeX-U,21,L  ,,,0
RangeX-X,22,L  ,,,0
Arabic,1025,LNG,,,0
Bulgarian,1026,LNG,,,0
Traditional Chinese,1028,LNG,,,0
Czech,1029,LNG,,,0
Danish,1030,LNG,,,0
German,1031,LNG,,,0
Greek,1032,LNG,,,0
English,1033,LNG,,,0
Finnish,1035,LNG,,,0
French,1036,LNG,,,0
Hungarian,1038,LNG,,,0
Italian,1040,LNG,,,0
japanese,1041,LNG,,,0
Korean,1042,LNG,,,0
Dutch,1043,LNG,,,0
Polish,1045,LNG,,,0
Brazilian,1046,LNG,,,0
Romanian,1048,LNG,,,0
Russian,1049,LNG,,,0
Croatian,1050,LNG,,,0
Slovak,1051,LNG,,,0
Swedish,1053,LNG,,,0
Thai,1054,LNG,,,0
Turkish,1055,LNG,,,0
Slovenian,1060,LNG,,,0
Estonian,1061,LNG,,,0
Latvian,1062,LNG,,,0
Lithuanian,1063,LNG,,,0
Simplified Chinese,2052,LNG,,,0
Norwegian,2068,LNG,,,0
Portuguese,2070,LNG,,,0
Spanish,3082,LNG,,,0
LOCK OWNER,0,LO ,,,0
Xact,1,LO ,,,0
Crsr,2,LO ,,,0
Sess,3,LO ,,,0
STWS,4,LO ,,,0
XTWS,5,LO ,,,0
WFR,6,LO ,,,0
LOCK RESOURCES,0,LR ,,,0
NUL,1,LR ,,,0
